# SignalP-5.0	Organism: Eukarya	Timestamp: 20210412190349
# ID	Prediction	SP(Sec/SPI)	OTHER	CS Position
CR_08710W_A	OTHER	0.001206	0.998794	
CM_00370W	OTHER	0.002973	0.997027	
C1_10260C_A	OTHER	0.000797	0.999203	
CR_09040W_A	OTHER	0.000700	0.999300	
C2_07520C_A	OTHER	0.001209	0.998791	
C3_03790W_A	OTHER	0.001024	0.998976	
C2_06620W_A	OTHER	0.000323	0.999677	
C2_05990C_A	OTHER	0.001370	0.998630	
C1_13370W_A	OTHER	0.000972	0.999028	
C4_01910W_A	OTHER	0.000656	0.999344	
C1_10310W_A	OTHER	0.001061	0.998939	
C1_13750C_A	OTHER	0.084016	0.915984	
C2_01130W_A	OTHER	0.000204	0.999796	
CR_09930W_A	OTHER	0.000970	0.999030	
C7_02650W_A	OTHER	0.006325	0.993675	
CR_08180C_A	OTHER	0.001248	0.998752	
C5_01900C_A	OTHER	0.003273	0.996727	
C5_03120W_A	OTHER	0.030062	0.969938	
C2_06550W_A	SP(Sec/SPI)	0.994382	0.005618	CS pos: 18-19. VQA-GI. Pr: 0.8033
C1_08770W_A	OTHER	0.001591	0.998409	
C6_03610W_A	OTHER	0.001791	0.998209	
C1_08200W_A	OTHER	0.001708	0.998292	
CR_09310W_A	OTHER	0.001636	0.998364	
CM_00230W	OTHER	0.013914	0.986086	
C2_06930C_A	OTHER	0.001315	0.998685	
C2_01610C_A	OTHER	0.000492	0.999508	
CR_02780W_A	OTHER	0.000908	0.999092	
C5_01120W_A	OTHER	0.008421	0.991579	
C5_00680W_A	OTHER	0.000665	0.999335	
C1_13260W_A	SP(Sec/SPI)	0.993296	0.006704	CS pos: 22-23. VSA-TA. Pr: 0.6496
C2_05790C_A	OTHER	0.000135	0.999865	
C1_02350W_A	OTHER	0.005626	0.994374	
C1_02070W_A	OTHER	0.000124	0.999876	
C1_12950W_A	OTHER	0.000168	0.999832	
CM_00250W	OTHER	0.013914	0.986086	
C4_05740C_A	OTHER	0.000750	0.999250	
C2_09880C_A	OTHER	0.000811	0.999189	
C7_03890C_A	OTHER	0.027002	0.972998	
C4_06050W_A	OTHER	0.000357	0.999643	
CR_05170C_A	OTHER	0.032634	0.967366	
C4_06370C_A	OTHER	0.001779	0.998221	
C1_05240C_A	OTHER	0.000255	0.999745	
C1_04320W_A	OTHER	0.001579	0.998421	
C3_05740C_A	OTHER	0.000438	0.999562	
C1_06200W_A	OTHER	0.000534	0.999466	
CR_06710C_A	OTHER	0.000395	0.999605	
C2_06240W_A	OTHER	0.000473	0.999527	
C1_13140C_A	OTHER	0.001905	0.998095	
C2_09970C_A	OTHER	0.012807	0.987193	
C1_03940W_A	OTHER	0.002393	0.997607	
C2_07950W_A	OTHER	0.000827	0.999173	
C4_03100W_A	SP(Sec/SPI)	0.993173	0.006827	CS pos: 18-19. TLA-SP. Pr: 0.8812
CR_04220C_A	OTHER	0.001677	0.998323	
C1_03750W_A	OTHER	0.009469	0.990531	
C7_01970C_A	OTHER	0.002245	0.997755	
C3_02180C_A	OTHER	0.001064	0.998936	
C5_05270C_A	OTHER	0.000458	0.999542	
C2_03610W_A	OTHER	0.001042	0.998958	
CR_09660W_A	OTHER	0.000536	0.999464	
C1_12670C_A	OTHER	0.000527	0.999473	
C3_07880C_A	OTHER	0.000559	0.999441	
CR_08110W_A	OTHER	0.001106	0.998894	
C6_01110W_A	OTHER	0.000977	0.999023	
C2_07230C_A	OTHER	0.001180	0.998820	
C1_14200W_A	OTHER	0.000280	0.999720	
CR_08860W_A	OTHER	0.000457	0.999543	
C6_01720C_A	OTHER	0.298834	0.701166	
C6_00780W_A	OTHER	0.000835	0.999165	
C1_10240C_A	OTHER	0.001746	0.998254	
C2_03750W_A	OTHER	0.001968	0.998032	
C2_00060C_A	OTHER	0.042572	0.957428	
CR_02200C_A	OTHER	0.000374	0.999626	
C6_01500C_A	OTHER	0.006815	0.993185	
C1_06330W_A	OTHER	0.000843	0.999157	
C4_01080W_A	OTHER	0.000939	0.999061	
C1_05870W_A	OTHER	0.000706	0.999294	
C7_02510W_A	OTHER	0.014077	0.985923	
C1_05130W_A	OTHER	0.010407	0.989593	
C2_06740W_A	OTHER	0.000469	0.999531	
CR_02970C_A	OTHER	0.000333	0.999667	
C2_00650W_A	OTHER	0.275704	0.724296	
C5_03900W_A	SP(Sec/SPI)	0.839788	0.160212	CS pos: 18-19. INA-KF. Pr: 0.7314
C1_02560W_A	OTHER	0.001994	0.998006	
C5_01330W_A	OTHER	0.421570	0.578430	
C4_02090C_A	OTHER	0.001085	0.998915	
CR_08820C_A	OTHER	0.004321	0.995679	
C3_01790C_A	OTHER	0.000716	0.999284	
CM_00220W	OTHER	0.013914	0.986086	
C1_13290W_A	SP(Sec/SPI)	0.882443	0.117557	CS pos: 18-19. INC-RE. Pr: 0.7537
C4_00980C_A	OTHER	0.132034	0.867966	
C1_14080W_A	OTHER	0.000336	0.999664	
C2_09270C_A	OTHER	0.000386	0.999614	
CR_02490W_A	OTHER	0.000573	0.999427	
C1_11390W_A	OTHER	0.021124	0.978876	
CR_03700C_A	OTHER	0.000757	0.999243	
C1_00820W_A	OTHER	0.000199	0.999801	
C1_05710C_A	OTHER	0.000848	0.999152	
C1_08240C_A	OTHER	0.001254	0.998746	
C4_02280W_A	OTHER	0.000159	0.999841	
C5_03090W_A	OTHER	0.000493	0.999507	
C2_08740W_A	OTHER	0.000963	0.999037	
C6_01890C_A	OTHER	0.000702	0.999298	
C5_03910C_A	OTHER	0.000495	0.999505	
C3_04990W_A	OTHER	0.000478	0.999522	
C3_05720C_A	OTHER	0.001396	0.998604	
C2_02470C_A	OTHER	0.004153	0.995847	
C4_00320C_A	OTHER	0.001657	0.998343	
C3_02040C_A	OTHER	0.000366	0.999634	
C3_07350W_A	OTHER	0.000606	0.999394	
C1_02160W_A	OTHER	0.018638	0.981362	
C6_00410C_A	OTHER	0.001406	0.998594	
C3_00090W_A	OTHER	0.000397	0.999603	
CR_03230W_A	OTHER	0.001769	0.998231	
C3_07450C_A	OTHER	0.000855	0.999145	
C2_04130W_A	OTHER	0.000686	0.999314	
CR_04910W_A	OTHER	0.001210	0.998790	
C1_13540W_A	OTHER	0.001821	0.998179	
C3_05150W_A	OTHER	0.000780	0.999220	
C2_00640W_A	OTHER	0.000714	0.999286	
C4_02170C_A	OTHER	0.044412	0.955588	
C2_04760W_A	OTHER	0.000433	0.999567	
C6_03480W_A	OTHER	0.002188	0.997812	
C5_02410C_A	OTHER	0.001230	0.998770	
CR_05390W_A	OTHER	0.105723	0.894277	
C2_00170C_A	SP(Sec/SPI)	0.868467	0.131533	CS pos: 23-24. VEA-FH. Pr: 0.8359
C2_04800C_A	OTHER	0.002019	0.997981	
C5_04600C_A	OTHER	0.000484	0.999516	
C3_07310C_A	OTHER	0.000538	0.999462	
C4_06120W_A	OTHER	0.001377	0.998623	
C6_03750C_A	OTHER	0.000783	0.999217	
C7_00740W_A	OTHER	0.000529	0.999471	
C1_14450C_A	OTHER	0.001318	0.998682	
CR_10350C_A	OTHER	0.000631	0.999369	
C2_09850C_A	OTHER	0.001197	0.998803	
C3_06530W_A	OTHER	0.000522	0.999478	
CR_08480C_A	OTHER	0.000606	0.999394	
CR_08270W_A	OTHER	0.001685	0.998315	
C4_05130C_A	OTHER	0.002096	0.997904	
CR_02120C_A	OTHER	0.001299	0.998701	
C6_01840C_A	OTHER	0.096249	0.903751	
C4_05010W_A	OTHER	0.000634	0.999366	
CR_09780C_A	OTHER	0.002798	0.997202	
C2_09840W_A	OTHER	0.000276	0.999724	
C7_00830C_A	OTHER	0.000425	0.999575	
C2_02810C_A	OTHER	0.000598	0.999402	
C1_03610C_A	OTHER	0.087516	0.912484	
C1_01080W_A	OTHER	0.004091	0.995909	
C4_02510W_A	OTHER	0.002683	0.997317	
C2_01930C_A	OTHER	0.000218	0.999782	
C3_01130C_A	OTHER	0.000887	0.999113	
C1_07820W_A	OTHER	0.110028	0.889972	
CR_05340C_A	OTHER	0.000573	0.999427	
C6_02160W_A	OTHER	0.000571	0.999429	
C3_00380C_A	OTHER	0.000292	0.999708	
C7_01250W_A	OTHER	0.000860	0.999140	
C5_01930W_A	OTHER	0.000195	0.999805	
C6_00330C_A	OTHER	0.000809	0.999191	
C6_02300C_A	OTHER	0.000931	0.999069	
CR_08120C_A	OTHER	0.000445	0.999555	
C1_11260C_A	OTHER	0.010988	0.989012	
C5_03110C_A	OTHER	0.000289	0.999711	
C2_06260W_A	OTHER	0.000387	0.999613	
C1_09660W_A	OTHER	0.002577	0.997423	
C4_06070C_A	OTHER	0.002192	0.997808	
C6_00510C_A	OTHER	0.000714	0.999286	
C5_05320C_A	OTHER	0.000581	0.999419	
C7_02210W_A	OTHER	0.001020	0.998980	
C5_03270W_A	OTHER	0.000909	0.999091	
C4_01400W_A	OTHER	0.040847	0.959153	
C3_02440C_A	OTHER	0.000714	0.999286	
C1_04260W_A	OTHER	0.000262	0.999738	
C2_09660W_A	OTHER	0.000608	0.999392	
C3_03130C_A	OTHER	0.000407	0.999593	
CR_08320W_A	OTHER	0.002057	0.997943	
CR_07660C_A	OTHER	0.024077	0.975923	
C4_05790W_A	OTHER	0.000363	0.999637	
C2_01800W_A	OTHER	0.000886	0.999114	
CR_06250W_A	OTHER	0.000806	0.999194	
CR_04390C_A	OTHER	0.000120	0.999880	
C2_06780C_A	OTHER	0.001971	0.998029	
C5_00540C_A	OTHER	0.000312	0.999688	
C1_02010C_A	OTHER	0.001317	0.998683	
C1_01340C_A	OTHER	0.001723	0.998277	
CR_10260W_A	OTHER	0.000403	0.999597	
C4_03140C_A	OTHER	0.000933	0.999067	
CR_08850W_A	OTHER	0.002926	0.997074	
C7_03220C_A	OTHER	0.001177	0.998823	
C4_04440W_A	OTHER	0.000211	0.999789	
C4_06730C_A	OTHER	0.000195	0.999805	
C1_12910W_A	OTHER	0.000721	0.999279	
C6_02590C_A	OTHER	0.001230	0.998770	
C3_07030C_A	OTHER	0.001480	0.998520	
C2_03590C_A	OTHER	0.002021	0.997979	
C6_00870C_A	OTHER	0.000817	0.999183	
C3_07860C_A	OTHER	0.000689	0.999311	
C7_03390C_A	OTHER	0.001177	0.998823	
C7_00560C_A	OTHER	0.000200	0.999800	
C5_00470C_A	OTHER	0.000484	0.999516	
C2_04060C_A	OTHER	0.000958	0.999042	
C3_02840W_A	OTHER	0.008957	0.991043	
C1_14530W_A	OTHER	0.000225	0.999775	
C2_10430C_A	OTHER	0.001600	0.998400	
C2_06350C_A	OTHER	0.001375	0.998625	
C7_01650W_A	OTHER	0.002273	0.997727	
C1_09530W_A	OTHER	0.000440	0.999560	
C6_03650C_A	OTHER	0.000236	0.999764	
C3_07740W_A	OTHER	0.000332	0.999668	
C1_07400C_A	OTHER	0.000352	0.999648	
C2_09620W_A	SP(Sec/SPI)	0.982828	0.017172	CS pos: 21-22. VVG-SE. Pr: 0.4753
C6_02850W_A	OTHER	0.000401	0.999599	
C4_00690C_A	OTHER	0.001081	0.998919	
C1_09120W_A	OTHER	0.001116	0.998884	
C5_02510C_A	OTHER	0.002342	0.997658	
C5_03060C_A	OTHER	0.002061	0.997939	
C3_02720W_A	OTHER	0.004860	0.995140	
CR_09050C_A	OTHER	0.000439	0.999561	
C5_02530W_A	OTHER	0.000548	0.999452	
CR_03360W_A	OTHER	0.000334	0.999666	
C4_02490W_A	OTHER	0.001136	0.998864	
C1_04890W_A	OTHER	0.001275	0.998725	
C2_09420W_A	OTHER	0.000871	0.999129	
C2_02910W_A	SP(Sec/SPI)	0.984050	0.015950	CS pos: 18-19. VPA-DT. Pr: 0.7189
C2_05230C_A	OTHER	0.000831	0.999169	
C1_07600W_A	OTHER	0.000709	0.999291	
C3_00390W_A	OTHER	0.048109	0.951891	
C4_03740W_A	OTHER	0.000692	0.999308	
C4_00660W_A	OTHER	0.000379	0.999621	
C5_02110W_A	OTHER	0.000591	0.999409	
CR_07270C_A	OTHER	0.001065	0.998935	
C3_03700C_A	OTHER	0.001590	0.998410	
C3_03730C_A	OTHER	0.031899	0.968101	
C2_06110W_A	OTHER	0.000314	0.999686	
C1_02270C_A	OTHER	0.000585	0.999415	
CR_09360W_A	OTHER	0.000745	0.999255	
CR_09800C_A	OTHER	0.000304	0.999696	
C5_03720C_A	OTHER	0.001022	0.998978	
C4_04790W_A	OTHER	0.001927	0.998073	
C2_00320W_A	OTHER	0.336732	0.663268	
C3_04500C_A	OTHER	0.000372	0.999628	
C3_02210C_A	OTHER	0.000952	0.999048	
C5_05340W_A	OTHER	0.000321	0.999679	
C3_00520W_A	OTHER	0.000859	0.999141	
C5_05410C_A	OTHER	0.001788	0.998212	
C4_02180C_A	OTHER	0.001203	0.998797	
CR_07480W_A	OTHER	0.004255	0.995745	
C3_04310C_A	SP(Sec/SPI)	0.996562	0.003438	CS pos: 20-21. VHA-TP. Pr: 0.9560
C2_02820C_A	OTHER	0.000660	0.999340	
C1_13240W_A	OTHER	0.000423	0.999577	
C7_03980W_A	OTHER	0.000612	0.999388	
C6_00670W_A	OTHER	0.001051	0.998949	
C1_09380W_A	OTHER	0.001541	0.998459	
CR_01520W_A	OTHER	0.000168	0.999832	
C3_01880W_A	OTHER	0.000869	0.999131	
C4_06620C_A	SP(Sec/SPI)	0.930779	0.069221	CS pos: 23-24. LYA-NS. Pr: 0.3206
CR_03870W_A	OTHER	0.002513	0.997487	
C1_04250C_A	OTHER	0.008555	0.991445	
CR_07840C_A	OTHER	0.000401	0.999599	
CR_05690W_A	OTHER	0.001229	0.998771	
C5_01080C_A	OTHER	0.000483	0.999517	
C3_01670W_A	OTHER	0.000683	0.999317	
C2_04210W_A	OTHER	0.000515	0.999485	
C1_04840C_A	OTHER	0.001104	0.998896	
C2_08530C_A	OTHER	0.000762	0.999238	
C4_05590W_A	OTHER	0.005824	0.994176	
C1_12770W_A	OTHER	0.000321	0.999679	
C5_02750C_A	OTHER	0.000836	0.999164	
C5_01710C_A	OTHER	0.000202	0.999798	
C6_01620W_A	OTHER	0.000541	0.999459	
C4_01480C_A	OTHER	0.071255	0.928745	
CR_00860C_A	OTHER	0.002713	0.997287	
C1_09520C_A	OTHER	0.007614	0.992386	
C1_07530W_A	OTHER	0.003856	0.996144	
C4_02900C_A	SP(Sec/SPI)	0.998665	0.001335	CS pos: 21-22. ANA-DT. Pr: 0.8639
C3_05340W_A	OTHER	0.001567	0.998433	
C2_04190C_A	OTHER	0.000740	0.999260	
C4_02890C_A	OTHER	0.005343	0.994657	
C4_05540W_A	OTHER	0.001450	0.998550	
C2_06290C_A	OTHER	0.000847	0.999153	
C2_07270W_A	OTHER	0.000148	0.999852	
C6_02060W_A	OTHER	0.000584	0.999416	
C1_14290C_A	OTHER	0.000749	0.999251	
C3_07470W_A	OTHER	0.003120	0.996880	
C1_03630W_A	OTHER	0.000301	0.999699	
C4_02550C_A	SP(Sec/SPI)	0.993861	0.006139	CS pos: 18-19. SNA-FY. Pr: 0.9551
CR_01430W_A	OTHER	0.000588	0.999412	
C2_00970C_A	OTHER	0.001663	0.998337	
C2_10040W_A	OTHER	0.003448	0.996552	
C2_01020W_A	OTHER	0.000529	0.999471	
C6_03780C_A	OTHER	0.000940	0.999060	
C1_07280C_A	OTHER	0.000969	0.999031	
C3_04240C_A	OTHER	0.000456	0.999544	
C4_05400C_A	OTHER	0.005060	0.994940	
C2_00810C_A	OTHER	0.004703	0.995297	
CR_01780W_A	OTHER	0.000531	0.999469	
C4_03090W_A	OTHER	0.000203	0.999797	
CR_01550C_A	OTHER	0.002345	0.997655	
C7_01550W_A	OTHER	0.001098	0.998902	
C4_07110C_A	OTHER	0.008471	0.991529	
C5_00910C_A	OTHER	0.000322	0.999678	
C5_03170C_A	OTHER	0.000671	0.999329	
C4_02850W_A	OTHER	0.000979	0.999021	
CR_05630W_A	OTHER	0.002403	0.997597	
C1_07850C_A	OTHER	0.000243	0.999757	
CR_01600C_A	OTHER	0.001646	0.998354	
C1_03900W_A	OTHER	0.001340	0.998660	
C4_07100C_A	OTHER	0.000395	0.999605	
C2_06540C_A	OTHER	0.000774	0.999226	
C2_04180C_A	OTHER	0.000544	0.999456	
CR_06350C_A	OTHER	0.002382	0.997618	
C2_09740W_A	OTHER	0.000613	0.999387	
C2_09890W_A	OTHER	0.001293	0.998707	
C1_12120W_A	OTHER	0.000447	0.999553	
C1_10230C_A	OTHER	0.000405	0.999595	
C7_00580C_A	OTHER	0.000714	0.999286	
C4_04540C_A	OTHER	0.021272	0.978728	
C2_10760C_A	OTHER	0.000254	0.999746	
C1_13760W_A	OTHER	0.000796	0.999204	
C6_01820C_A	OTHER	0.000817	0.999183	
C4_01800W_A	OTHER	0.000837	0.999163	
C1_07970C_A	SP(Sec/SPI)	0.811659	0.188341	CS pos: 20-21. IIA-SP. Pr: 0.5193
C5_03470C_A	OTHER	0.317895	0.682105	
C1_10690W_A	OTHER	0.001882	0.998118	
C2_06920C_A	OTHER	0.000229	0.999771	
C1_03130C_A	OTHER	0.000600	0.999400	
CR_06330C_A	OTHER	0.000887	0.999113	
C1_06880C_A	OTHER	0.000460	0.999540	
C3_00130C_A	OTHER	0.002483	0.997517	
C7_03450C_A	OTHER	0.000574	0.999426	
C2_07500C_A	OTHER	0.000435	0.999565	
C1_09710C_A	OTHER	0.000597	0.999403	
CR_08690C_A	OTHER	0.007307	0.992693	
C3_05060W_A	OTHER	0.001031	0.998969	
C1_13400C_A	OTHER	0.000857	0.999143	
C2_01330C_A	OTHER	0.011585	0.988415	
CR_04050C_A	OTHER	0.002239	0.997761	
C1_12010C_A	OTHER	0.000487	0.999513	
C2_06960W_A	OTHER	0.000389	0.999611	
CR_00830W_A	OTHER	0.000849	0.999151	
C4_01270W_A	OTHER	0.001454	0.998546	
C2_02310W_A	OTHER	0.000637	0.999363	
C2_08730W_A	OTHER	0.001393	0.998607	
C5_01800C_A	OTHER	0.000546	0.999454	
C2_07830W_A	SP(Sec/SPI)	0.964163	0.035837	CS pos: 22-23. VNG-SR. Pr: 0.9225
C7_00110W_A	OTHER	0.000796	0.999204	
C6_00280W_A	OTHER	0.002464	0.997536	
C1_10570C_A	OTHER	0.001257	0.998743	
C5_04290C_A	OTHER	0.000158	0.999842	
CR_07820W_A	OTHER	0.006498	0.993502	
C1_09670C_A	OTHER	0.000548	0.999452	
C3_02230C_A	OTHER	0.000487	0.999513	
C5_01000C_A	OTHER	0.000389	0.999611	
C3_00900C_A	OTHER	0.001444	0.998556	
C5_03620W_A	OTHER	0.001384	0.998616	
C2_09600C_A	OTHER	0.010416	0.989584	
C2_08610W_A	OTHER	0.001984	0.998016	
C2_04870C_A	OTHER	0.000384	0.999616	
CR_07010W_A	OTHER	0.000972	0.999028	
C1_10430W_A	SP(Sec/SPI)	0.909431	0.090569	CS pos: 28-29. VDA-AP. Pr: 0.9018
C1_12780W_A	OTHER	0.001831	0.998169	
CR_06970C_A	OTHER	0.000541	0.999459	
C1_02140C_A	OTHER	0.002881	0.997119	
C3_06050C_A	OTHER	0.000433	0.999567	
C6_01760W_A	OTHER	0.000845	0.999155	
CR_03150W_A	OTHER	0.000575	0.999425	
C1_02040C_A	OTHER	0.000521	0.999479	
C5_04960W_A	OTHER	0.007006	0.992994	
C5_02070C_A	OTHER	0.000378	0.999622	
CR_04780W_A	OTHER	0.000901	0.999099	
C6_04610C_A	OTHER	0.000315	0.999685	
CR_09980W_A	OTHER	0.000161	0.999839	
C4_00780C_A	OTHER	0.000767	0.999233	
C5_02280C_A	OTHER	0.000304	0.999696	
C2_01340W_A	SP(Sec/SPI)	0.970287	0.029713	CS pos: 17-18. VLA-NL. Pr: 0.6716
C5_04350C_A	OTHER	0.003155	0.996845	
C4_02630C_A	OTHER	0.000268	0.999732	
CR_07500W_A	OTHER	0.003348	0.996652	
C3_00120W_A	OTHER	0.000284	0.999716	
C2_07760W_A	OTHER	0.073510	0.926490	
C2_02440W_A	OTHER	0.000798	0.999202	
CR_07220C_A	OTHER	0.004743	0.995257	
C1_02630C_A	SP(Sec/SPI)	0.993963	0.006037	CS pos: 21-22. VAC-EQ. Pr: 0.8089
C1_00410C_A	OTHER	0.000884	0.999116	
CR_01020C_A	OTHER	0.031892	0.968108	
C2_02190C_A	OTHER	0.002559	0.997441	
C2_07700C_A	OTHER	0.002174	0.997826	
C4_05530W_A	OTHER	0.000334	0.999666	
C1_07190W_A	OTHER	0.000372	0.999628	
C2_08210C_A	OTHER	0.006578	0.993422	
C4_06800W_A	OTHER	0.001360	0.998640	
C7_00660W_A	OTHER	0.001121	0.998879	
C5_04920C_A	OTHER	0.000984	0.999016	
C1_00480C_A	OTHER	0.000967	0.999033	
C2_06640C_A	OTHER	0.001207	0.998793	
C1_00070W_A	OTHER	0.000769	0.999231	
C7_03340C_A	OTHER	0.000439	0.999561	
C3_04000C_A	OTHER	0.000796	0.999204	
CR_04080C_A	OTHER	0.005397	0.994603	
C1_11860W_A	OTHER	0.002796	0.997204	
C1_02590C_A	OTHER	0.001440	0.998560	
C3_04660C_A	OTHER	0.000641	0.999359	
CR_06930W_A	OTHER	0.000569	0.999431	
C3_04480C_A	OTHER	0.001314	0.998686	
C1_03430W_A	OTHER	0.000346	0.999654	
C4_03300C_A	OTHER	0.000824	0.999176	
C1_06080C_A	OTHER	0.000647	0.999353	
C1_05760C_A	SP(Sec/SPI)	0.747763	0.252237	CS pos: 18-19. ALA-EF. Pr: 0.5826
C1_12140W_A	OTHER	0.000510	0.999490	
C4_00330C_A	OTHER	0.022390	0.977610	
CR_06540W_A	OTHER	0.003454	0.996546	
C2_04050C_A	OTHER	0.001819	0.998181	
C1_05890W_A	SP(Sec/SPI)	0.957750	0.042250	CS pos: 20-21. ISA-AP. Pr: 0.5943
C1_08560W_A	OTHER	0.005319	0.994681	
C6_01590W_A	OTHER	0.004945	0.995055	
C2_02630W_A	OTHER	0.001103	0.998897	
CR_02560C_A	OTHER	0.001777	0.998223	
C4_04240C_A	OTHER	0.002666	0.997334	
C1_03110W_A	OTHER	0.001888	0.998112	
C2_04740C_A	OTHER	0.000348	0.999652	
C5_03940C_A	OTHER	0.004101	0.995899	
C2_07930C_A	OTHER	0.002407	0.997593	
C5_01420W_A	OTHER	0.008623	0.991377	
C7_01830W_A	OTHER	0.000351	0.999649	
CR_03760W_A	OTHER	0.000376	0.999624	
C1_04530C_A	OTHER	0.000755	0.999245	
C1_00220W_A	SP(Sec/SPI)	0.966428	0.033572	CS pos: 22-23. VAA-ED. Pr: 0.7508
C1_03730C_A	OTHER	0.000694	0.999306	
CR_06650C_A	OTHER	0.000790	0.999210	
C7_01190W_A	OTHER	0.001097	0.998903	
C2_00730C_A	OTHER	0.000442	0.999558	
C4_01900C_A	OTHER	0.003127	0.996873	
C1_10560C_A	OTHER	0.000604	0.999396	
C1_08730W_A	OTHER	0.000579	0.999421	
CR_06140W_A	OTHER	0.000631	0.999369	
C7_01850C_A	OTHER	0.001808	0.998192	
C5_00820W_A	OTHER	0.001133	0.998867	
CR_01270C_A	OTHER	0.007258	0.992742	
C4_04710W_A	OTHER	0.000430	0.999570	
C3_00290W_A	OTHER	0.001013	0.998987	
CR_03270W_A	OTHER	0.001147	0.998853	
CR_03050C_A	OTHER	0.001503	0.998497	
C5_04640C_A	OTHER	0.000847	0.999153	
C4_04060W_A	OTHER	0.000477	0.999523	
C1_04950C_A	OTHER	0.001997	0.998003	
C4_06760W_A	OTHER	0.022650	0.977350	
C4_06750C_A	OTHER	0.010755	0.989245	
C7_00420C_A	OTHER	0.000255	0.999745	
C5_02580W_A	OTHER	0.000757	0.999243	
CR_08060C_A	OTHER	0.022515	0.977485	
C6_04410C_A	OTHER	0.000631	0.999369	
C1_12230W_A	OTHER	0.000225	0.999775	
C2_07210C_A	OTHER	0.000328	0.999672	
C4_01280C_A	OTHER	0.000891	0.999109	
C2_00740C_A	OTHER	0.004148	0.995852	
C3_00450C_A	OTHER	0.001624	0.998376	
C6_03730C_A	OTHER	0.000462	0.999538	
C6_02770W_A	OTHER	0.000652	0.999348	
C2_05220C_A	OTHER	0.000894	0.999106	
C4_01410W_A	OTHER	0.000289	0.999711	
CR_07950W_A	OTHER	0.000334	0.999666	
C1_11300C_A	OTHER	0.000469	0.999531	
C3_02110W_A	OTHER	0.001489	0.998511	
C3_05510W_A	OTHER	0.000588	0.999412	
C3_04410C_A	OTHER	0.004592	0.995408	
C6_04290W_A	OTHER	0.003662	0.996338	
C4_00210W_A	OTHER	0.003589	0.996411	
C1_08920W_A	OTHER	0.003586	0.996414	
C3_03440C_A	OTHER	0.000220	0.999780	
C2_06570C_A	OTHER	0.001240	0.998760	
C2_05260W_A	OTHER	0.000444	0.999556	
CR_10300W_A	OTHER	0.001102	0.998898	
C2_08490W_A	OTHER	0.001939	0.998061	
CR_00540C_A	OTHER	0.044006	0.955994	
C2_09330C_A	OTHER	0.000564	0.999436	
C2_00190C_A	OTHER	0.001543	0.998457	
CR_03020C_A	OTHER	0.001897	0.998103	
C1_05160C_A	OTHER	0.002221	0.997779	
C7_03600W_A	OTHER	0.051951	0.948049	
C7_00390W_A	OTHER	0.000991	0.999009	
C7_02930C_A	OTHER	0.000805	0.999195	
C1_05680C_A	OTHER	0.001918	0.998082	
CR_00190W_A	OTHER	0.011374	0.988626	
C1_14330W_A	OTHER	0.008635	0.991365	
C1_12190W_A	OTHER	0.002383	0.997617	
C2_04480W_A	OTHER	0.001426	0.998574	
C4_05430C_A	OTHER	0.000823	0.999177	
C2_06340W_A	OTHER	0.002768	0.997232	
CR_04040C_A	OTHER	0.000832	0.999168	
C4_01320C_A	OTHER	0.000640	0.999360	
C1_01740W_A	OTHER	0.000880	0.999120	
C5_04790C_A	OTHER	0.000702	0.999298	
C3_02870C_A	OTHER	0.000381	0.999619	
C1_05320C_A	OTHER	0.001243	0.998757	
C3_03340C_A	OTHER	0.007236	0.992764	
C2_06310C_A	OTHER	0.000479	0.999521	
C1_07070C_A	OTHER	0.000341	0.999659	
C4_06900W_A	OTHER	0.001921	0.998079	
C6_03250W_A	OTHER	0.001939	0.998061	
C2_02020W_A	OTHER	0.002267	0.997733	
C7_02230W_A	OTHER	0.001528	0.998472	
C2_07510W_A	OTHER	0.000402	0.999598	
C2_06490W_A	OTHER	0.000657	0.999343	
C1_11700C_A	OTHER	0.004651	0.995349	
C1_05630C_A	OTHER	0.000524	0.999476	
CR_10120C_A	OTHER	0.004552	0.995448	
C4_06930C_A	OTHER	0.000469	0.999531	
C1_09760C_A	OTHER	0.001202	0.998798	
C6_02860W_A	OTHER	0.000431	0.999569	
C1_06100C_A	OTHER	0.000438	0.999562	
C4_01710C_A	OTHER	0.001119	0.998881	
C4_00490W_A	OTHER	0.001081	0.998919	
C6_03720W_A	OTHER	0.001195	0.998805	
C2_05970C_A	OTHER	0.000856	0.999144	
C1_03000W_A	OTHER	0.000868	0.999132	
C1_14090W_A	OTHER	0.000709	0.999291	
C1_02780W_A	OTHER	0.001289	0.998711	
C5_02650C_A	OTHER	0.000741	0.999259	
CR_03580C_A	OTHER	0.024293	0.975707	
C1_02600W_A	OTHER	0.017604	0.982396	
C7_00160C_A	OTHER	0.000771	0.999229	
C6_01380C_A	OTHER	0.000874	0.999126	
C2_00450C_A	OTHER	0.000344	0.999656	
C1_12370W_A	OTHER	0.001128	0.998872	
C2_07880W_A	OTHER	0.002189	0.997811	
CR_07830C_A	OTHER	0.000652	0.999348	
C1_04040C_A	OTHER	0.001341	0.998659	
CR_05030W_A	OTHER	0.407230	0.592770	
C3_07790W_A	OTHER	0.000378	0.999622	
CR_10550W_A	OTHER	0.000177	0.999823	
C7_04290W_A	OTHER	0.000903	0.999097	
C5_03920C_A	OTHER	0.000738	0.999262	
CR_06450W_A	OTHER	0.000688	0.999312	
